Date Published,Product Title,Advisory Title,Category,Post Link,
18 May 2021,SASIMI HYDRATING FLAWLESS SEGREGATING SPF 50 BB CREAM 01,FDA Advisory No.2021-0958 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic SASIMI HYDRATING FLAWLESS SEGREGATING SPF 50 BB CREAM 01,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0958-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-sasimi-hydrating-flawless-segregating-spf-50-bb-cream-01/,
18 May 2021,CITROMINT ORGANIC HOME PEST CONTROL,FDA Advisory No.2021-0956 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic CITROMINT ORGANIC HOME PEST CONTROL,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0956-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-citromint-organic-home-pest-control/,
18 May 2021,AS ASHLEY SHINE LIPSTICK NO AS7101 – 12,FDA Advisory No.2021-0955 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic AS ASHLEY SHINE LIPSTICK NO AS7101 – 12,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0955-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-as-ashley-shine-lipstick-no-as7101-12/,
18 May 2021,COCONUT SOAP,FDA Advisory No.2021-0954 || Public Health Warning Against the Purchase and Use of the Non-Compliant Cosmetic Product ” COCONUT SOAP “,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0954-public-health-warning-against-the-purchase-and-use-of-the-non-compliant-cosmetic-product-coconut-soap/,
18 May 2021,ELLESE SKIN CARE MIRACLE SET,FDA Circular No.2021-0953 || Public Health Warning Against the Purchase and Use of the Non-Compliant Cosmetic Product ” ELLESE SKIN CARE MIRACLE SET “,Cosmetic Advisories,https://www.fda.gov.ph/fda-circular-no-2021-0953-public-health-warning-against-the-purchase-and-use-of-the-non-compliant-cosmetic-product-ellese-skin-care-miracle-set/,
18 May 2021,FILLING NUTRITION WATER HA FOCUS ESSENCE SILK MASK,FDA Advisory No.2021-0951 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic FILLING NUTRITION WATER HA FOCUS ESSENCE SILK MASK,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0951-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-filling-nutrition-water-ha-focus-essence-silk-mask/,
18 May 2021,HANZHIXIU HAIR COLOR WAX ROYAL PURPLE TOUGH & GLOSSY,FDA Advisory No.2021-0950 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic HANZHIXIU HAIR COLOR WAX ROYAL PURPLE TOUGH & GLOSSY,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0950-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-hanzhixiu-hair-color-wax-royal-purple-tough-glossy/,
18 May 2021,HANZHIXIU HAIR COLOR WAX OCEANIC GREEN TOUGH & GLOSSY,FDA Advisory No.2021-0949 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic HANZHIXIU HAIR COLOR WAX OCEANIC GREEN TOUGH & GLOSSY,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0949-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-hanzhixiu-hair-color-wax-oceanic-green-tough-glossy/,
18 May 2021,HANZHIXIU HAIR COLOR WAX SAPPHIRE BLUE TOUGH & GLOSSY,FDA Advisory No.2021-0948 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic HANZHIXIU HAIR COLOR WAX SAPPHIRE BLUE TOUGH & GLOSSY,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0948-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-hanzhixiu-hair-color-wax-sapphire-blue-tough-glossy/,
18 May 2021,HANZHIXIU HAIR COLOR WAX CHAMPAGNE GOLD TOUGH & GLOSSY,FDA Advisory No.2021-0947 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic HANZHIXIU HAIR COLOR WAX CHAMPAGNE GOLD TOUGH & GLOSSY,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0947-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-hanzhixiu-hair-color-wax-champagne-gold-tough-glossy/,
18 May 2021,KYLIE AN ALL-IN ONE CREAM OR PERFECT LOOKING SKIN SPF 30 PA++ COLOR 01,FDA Advisory No.2021-0946 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic KYLIE AN ALL-IN ONE CREAM OR PERFECT LOOKING SKIN SPF 30 PA++ COLOR 01,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0946-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-kylie-an-all-in-one-cream-or-perfect-looking-skin-spf-30-pa-color-01/,
18 May 2021,AICHUN BEAUTY FACE & BODY WHITENING CREAM COLLAGEN & MILK QUICK WHITENING ACTIVE WHITE POWERFUL ANTIOXIDANTS ENERGIZE,FDA Advisory No.2021-0945 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic AICHUN BEAUTY FACE & BODY WHITENING CREAM COLLAGEN & MILK QUICK WHITENING ACTIVE WHITE POWERFUL ANTIOXIDANTS ENERGIZE,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0945-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-aichun-beauty-face-body-whitening-cream-collagen-milk-quick-whitening-active-white-powerful/,
18 May 2021,FRUIT OF THE WOKALI PROFESSIONAL CARE KIDS SUN CREAM HIGH PROTECTION UVA+UVB SPF 35+,FDA Advisory No.2021-0944 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic FRUIT OF THE WOKALI PROFESSIONAL CARE KIDS SUN CREAM HIGH PROTECTION UVA+UVB SPF 35+,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0944-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-fruit-of-the-wokali-professional-care-kids-sun-cream-high-protection-uvauvb-spf-35/,
18 May 2021,LEBELAGE WRINKLE CARE MAGIC HAND CREAM,FDA Advisory No.2021-0943 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic LEBELAGE WRINKLE CARE MAGIC HAND CREAM,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0943-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-lebelage-wrinkle-care-magic-hand-cream/,
18 May 2021,PERFECT SKIN ALL NATURALS GLUTA ARBUTIN WITH SNAIL EXTRACT SPF 45 PA +,FDA Advisory No.2021-0942 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic PERFECT SKIN ALL NATURALS GLUTA ARBUTIN WITH SNAIL EXTRACT SPF 45 PA ++,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0942-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-perfect-skin-all-naturals-gluta-arbutin-with-snail-extract-spf-45-pa/,
18 May 2021,"TOKYO WHITE GLUTATHIONE, VITAMINS C & E, WITH NATURAL WHITENING INGREDIENTS AND ANTI-OXIDANTS NATURAL WHITENING AND MOISTURIZING FACE & BODY SOAP","FDA Advisory No.2021-0941 || Public Health Warning Against the Purchase and Use of the Non-Compliant Cosmetic Product ” TOKYO WHITE GLUTATHIONE, VITAMINS C & E, WITH NATURAL WHITENING INGREDIENTS AND ANTI-OXIDANTS NATURAL WHITENING AND MOISTURIZING FACE & BODY SOAP “",Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0941-public-health-warning-against-the-purchase-and-use-of-the-non-compliant-cosmetic-product-tokyo-white-glutathione-vitamins-c-e-with-natural-whitening-ingredients-and/,
17 May 2021,BATH JUNKIES MINTY GROOVE BATH SOAP,FDA Advisory No.2021-0940 || Public Health Warning Against the Purchase and Use of the Non-Compliant Cosmetic Product ” BATH JUNKIES MINTY GROOVE BATH SOAP “,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0940-public-health-warning-against-the-purchase-and-use-of-the-non-compliant-cosmetic-product-bath-junkies-minty-groove-bath-soap/,
17 May 2021,NATURAL HERBAL RECIPE FOR MIAO NATIONALITY MIAO SKIN FROST,FDA Advisory No.2021-0939 || Public Health Warning Against the Purchase and Use of the Non-Compliant Cosmetic Product ” NATURAL HERBAL RECIPE FOR MIAO NATIONALITY MIAO SKIN FROST “,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0939-public-health-warning-against-the-purchase-and-use-of-the-non-compliant-cosmetic-product-natural-herbal-recipe-for-miao-nationality-miao-skin-frost/,
17 May 2021,CLUB HAIR OIL,FDA Advisory No.2021-0938 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic CLUB HAIR OIL,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0938-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-club-hair-oil/,
